"[""Moments Snacks Fruta para Perro""]","[""60 Gr.""]","[""1.15 €/u""]",https://img2.petsonic.com/15756-medium_default/snacks-fruta-para-perro.jpg
"[""Moments Snack Iberico para Perro""]","[""60 Gr.""]","[""1.15 €/u""]",https://img2.petsonic.com/15757-medium_default/snack-iberico-para-perro.jpg
"[""Moments Snack Pavo para Perro""]","[""60 Gr.""]","[""1.15 €/u""]",https://img1.petsonic.com/15758-medium_default/snack-pavo-para-perro.jpg
"[""Moments Snack Queso para Perro""]","[""60 Gr.""]","[""1.15 €/u""]",https://img1.petsonic.com/15759-medium_default/snack-queso-para-perro.jpg
"[""Moments Snack Pescado para Perro""]","[""60 Gr.""]","[""1.15 €/u""]",https://img3.petsonic.com/15760-medium_default/snack-pescado-para-perro.jpg
"[""Pet Munchies Snack Naturales Filetes de Pollo para Perro""]","[""100 Gr.""]","[""3.42 €/u""]",https://img3.petsonic.com/15835-medium_default/snack-naturales-filetes-pollo-para-perro.jpg
"[""Pet Munchies Snacks Naturales Tiras de Pollo para Perro""]","[""100 Gr.""]","[""3.61 €/u""]",https://img2.petsonic.com/15834-medium_default/snacks-naturales-tiras-pollo-para-perro.jpg
"[""Pet Munchies Snack Naturales Filetes de Pato para Perro""]","[""80 Gr""]","[""3.42 €/u""]",https://img1.petsonic.com/15837-medium_default/snack-naturales-filetes-pato-para-perro.jpg
"[""Pet Munchies Snacks Naturales Tiras de Pechuga Pato para Perro""]","[""80 Gr""]","[""3.49 €/u""]",https://img1.petsonic.com/15794-medium_default/pet-munchies-snacks-naturales-tiras-pechuga-pato-para-perros.jpg
"[""Pet Munchies Snacks Naturales Tiras de Venado para Perro""]","[""70 Gr""]","[""3.80 €/u""]",https://img3.petsonic.com/15795-medium_default/snacks-naturales-tiras-venado-para-perro.jpg
"[""Pet Munchies Snacks Naturales Bocaditos de Salmón para Perro""]","[""90 Gr""]","[""3.00 €/u""]",https://img2.petsonic.com/15833-medium_default/snacks-naturales-bocaditos-salmon-para-perro.jpg
"[""Pet Munchies Snack Naturales Filetes de Salmón para Perro""]","[""90 Gr""]","[""3.42 €/u""]",https://img2.petsonic.com/15832-medium_default/snack-naturales-filetes-salmon-para-perro.jpg
"[""Pet Munchies Snack Naturales Salmón Skin Chews Medium para Perro""]","[""90 Gr""]","[""3.37 €/u""]",https://img2.petsonic.com/15831-medium_default/snack-naturales-salmon-skin-chews-medium-para-perro.jpg
"[""Pet Munchies Snack Naturales Salmón Skin Chews Large para Perro""]","[""125 Gr.""]","[""3.39 €/u""]",https://img3.petsonic.com/15830-medium_default/snack-naturales-salmon-skin-chews-large-para-perro.jpg
"[""Trixie Caja Navidad para Perro""]","[""1 Unidad.""]","[""8.99 €/u""]",https://img2.petsonic.com/13926-medium_default/caja-navidad-para-perro.jpg
